freq (Hz),leafValue( getData("out" ?result "noise") "Q0.m" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 32 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 64 ) (A / sqrt(Hz))
102.329,52.0067E-12,73.3800E-12,103.302E-12,144.773E-12,201.125E-12,274.793E-12,364.236E-12
104.713,51.5683E-12,72.7622E-12,102.434E-12,143.563E-12,199.460E-12,272.563E-12,361.396E-12
107.152,51.1373E-12,72.1547E-12,101.581E-12,142.374E-12,197.824E-12,270.372E-12,358.605E-12
109.648,50.7134E-12,71.5575E-12,100.743E-12,141.204E-12,196.215E-12,268.218E-12,355.863E-12
112.202,50.2968E-12,70.9704E-12,99.9180E-12,140.054E-12,194.634E-12,266.101E-12,353.170E-12
114.815,49.8872E-12,70.3932E-12,99.1076E-12,138.924E-12,193.080E-12,264.021E-12,350.523E-12
117.490,49.4846E-12,69.8259E-12,98.3110E-12,137.814E-12,191.553E-12,261.977E-12,347.924E-12
120.226,49.0889E-12,69.2683E-12,97.5280E-12,136.722E-12,190.052E-12,259.968E-12,345.371E-12
123.027,48.7000E-12,68.7202E-12,96.7585E-12,135.649E-12,188.577E-12,257.995E-12,342.863E-12
125.893,48.3178E-12,68.1817E-12,96.0024E-12,134.595E-12,187.128E-12,256.056E-12,340.400E-12
128.825,47.9423E-12,67.6525E-12,95.2593E-12,133.559E-12,185.704E-12,254.152E-12,337.982E-12
131.826,47.5732E-12,67.1325E-12,94.5293E-12,132.542E-12,184.306E-12,252.282E-12,335.607E-12
134.896,47.2106E-12,66.6216E-12,93.8120E-12,131.542E-12,182.932E-12,250.444E-12,333.275E-12
138.038,46.8544E-12,66.1197E-12,93.1073E-12,130.560E-12,181.582E-12,248.640E-12,330.986E-12
141.254,46.5045E-12,65.6266E-12,92.4151E-12,129.595E-12,180.256E-12,246.868E-12,328.739E-12
144.544,46.1608E-12,65.1423E-12,91.7352E-12,128.647E-12,178.954E-12,245.128E-12,326.533E-12
147.911,45.8232E-12,64.6666E-12,91.0674E-12,127.716E-12,177.675E-12,243.420E-12,324.368E-12
151.356,45.4916E-12,64.1994E-12,90.4115E-12,126.802E-12,176.420E-12,241.743E-12,322.242E-12
154.882,45.1659E-12,63.7406E-12,89.7674E-12,125.905E-12,175.187E-12,240.096E-12,320.157E-12
158.489,44.8462E-12,63.2900E-12,89.1350E-12,125.024E-12,173.977E-12,238.480E-12,318.110E-12
162.181,44.5322E-12,62.8476E-12,88.5140E-12,124.158E-12,172.788E-12,236.893E-12,316.102E-12
165.959,44.2239E-12,62.4133E-12,87.9043E-12,123.309E-12,171.622E-12,235.336E-12,314.132E-12
169.824,43.9213E-12,61.9869E-12,87.3058E-12,122.475E-12,170.477E-12,233.808E-12,312.199E-12
173.780,43.6242E-12,61.5683E-12,86.7183E-12,121.656E-12,169.353E-12,232.308E-12,310.303E-12
177.828,43.3326E-12,61.1575E-12,86.1416E-12,120.853E-12,168.250E-12,230.837E-12,308.443E-12
181.970,43.0463E-12,60.7542E-12,85.5756E-12,120.064E-12,167.168E-12,229.393E-12,306.619E-12
186.209,42.7654E-12,60.3584E-12,85.0201E-12,119.291E-12,166.106E-12,227.976E-12,304.830E-12
190.546,42.4897E-12,59.9700E-12,84.4750E-12,118.531E-12,165.063E-12,226.587E-12,303.075E-12
194.984,42.2192E-12,59.5889E-12,83.9401E-12,117.786E-12,164.041E-12,225.224E-12,301.354E-12
199.526,41.9537E-12,59.2150E-12,83.4153E-12,117.055E-12,163.038E-12,223.886E-12,299.667E-12
204.174,41.6933E-12,58.8481E-12,82.9005E-12,116.338E-12,162.054E-12,222.575E-12,298.013E-12
208.930,41.4378E-12,58.4882E-12,82.3954E-12,115.635E-12,161.089E-12,221.289E-12,296.392E-12
213.796,41.1872E-12,58.1351E-12,81.8999E-12,114.945E-12,160.142E-12,220.028E-12,294.802E-12
218.776,40.9414E-12,57.7888E-12,81.4139E-12,114.268E-12,159.214E-12,218.792E-12,293.244E-12
223.872,40.7003E-12,57.4491E-12,80.9373E-12,113.604E-12,158.304E-12,217.579E-12,291.717E-12
229.087,40.4638E-12,57.1160E-12,80.4699E-12,112.953E-12,157.411E-12,216.391E-12,290.220E-12
234.423,40.2319E-12,56.7894E-12,80.0115E-12,112.315E-12,156.536E-12,215.225E-12,288.753E-12
239.883,40.0045E-12,56.4690E-12,79.5621E-12,111.689E-12,155.678E-12,214.083E-12,287.316E-12
245.471,39.7816E-12,56.1550E-12,79.1214E-12,111.076E-12,154.837E-12,212.964E-12,285.908E-12
251.189,39.5630E-12,55.8471E-12,78.6894E-12,110.475E-12,154.012E-12,211.867E-12,284.528E-12
257.040,39.3487E-12,55.5452E-12,78.2659E-12,109.885E-12,153.204E-12,210.791E-12,283.176E-12
263.027,39.1386E-12,55.2494E-12,77.8507E-12,109.307E-12,152.412E-12,209.738E-12,281.852E-12
269.153,38.9327E-12,54.9593E-12,77.4438E-12,108.741E-12,151.636E-12,208.705E-12,280.555E-12
275.423,38.7309E-12,54.6751E-12,77.0451E-12,108.186E-12,150.875E-12,207.694E-12,279.285E-12
281.838,38.5332E-12,54.3965E-12,76.6542E-12,107.642E-12,150.130E-12,206.703E-12,278.040E-12
288.403,38.3394E-12,54.1235E-12,76.2713E-12,107.109E-12,149.399E-12,205.732E-12,276.822E-12
295.121,38.1495E-12,53.8561E-12,75.8960E-12,106.586E-12,148.684E-12,204.781E-12,275.629E-12
301.995,37.9634E-12,53.5940E-12,75.5284E-12,106.075E-12,147.983E-12,203.850E-12,274.460E-12
309.030,37.7811E-12,53.3372E-12,75.1682E-12,105.573E-12,147.296E-12,202.937E-12,273.316E-12
316.228,37.6025E-12,53.0857E-12,74.8153E-12,105.082E-12,146.624E-12,202.044E-12,272.196E-12
323.594,37.4276E-12,52.8393E-12,74.4697E-12,104.602E-12,145.965E-12,201.169E-12,271.100E-12
331.131,37.2562E-12,52.5979E-12,74.1312E-12,104.130E-12,145.320E-12,200.312E-12,270.026E-12
338.844,37.0884E-12,52.3615E-12,73.7996E-12,103.669E-12,144.688E-12,199.474E-12,268.976E-12
346.737,36.9240E-12,52.1300E-12,73.4749E-12,103.217E-12,144.069E-12,198.652E-12,267.948E-12
354.813,36.7630E-12,51.9033E-12,73.1569E-12,102.775E-12,143.464E-12,197.848E-12,266.941E-12
363.078,36.6054E-12,51.6813E-12,72.8455E-12,102.342E-12,142.871E-12,197.061E-12,265.956E-12
371.535,36.4511E-12,51.4640E-12,72.5406E-12,101.918E-12,142.290E-12,196.291E-12,264.993E-12
380.189,36.3000E-12,51.2512E-12,72.2421E-12,101.502E-12,141.722E-12,195.537E-12,264.050E-12
389.045,36.1520E-12,51.0428E-12,71.9499E-12,101.096E-12,141.165E-12,194.799E-12,263.127E-12
398.107,36.0072E-12,50.8389E-12,71.6639E-12,100.698E-12,140.621E-12,194.077E-12,262.224E-12
407.380,35.8654E-12,50.6392E-12,71.3839E-12,100.309E-12,140.088E-12,193.370E-12,261.341E-12
416.869,35.7267E-12,50.4438E-12,71.1098E-12,99.9274E-12,139.566E-12,192.678E-12,260.477E-12
426.580,35.5909E-12,50.2525E-12,70.8416E-12,99.5544E-12,139.056E-12,192.002E-12,259.632E-12
436.516,35.4579E-12,50.0653E-12,70.5791E-12,99.1893E-12,138.556E-12,191.340E-12,258.805E-12
446.684,35.3279E-12,49.8822E-12,70.3222E-12,98.8321E-12,138.067E-12,190.692E-12,257.997E-12
457.088,35.2006E-12,49.7029E-12,70.0709E-12,98.4825E-12,137.589E-12,190.058E-12,257.206E-12
467.735,35.0760E-12,49.5275E-12,69.8249E-12,98.1405E-12,137.121E-12,189.438E-12,256.433E-12
478.630,34.9542E-12,49.3559E-12,69.5843E-12,97.8059E-12,136.664E-12,188.832E-12,255.676E-12
489.779,34.8350E-12,49.1881E-12,69.3489E-12,97.4786E-12,136.216E-12,188.239E-12,254.937E-12
501.187,34.7183E-12,49.0238E-12,69.1186E-12,97.1583E-12,135.778E-12,187.659E-12,254.214E-12
512.861,34.6042E-12,48.8632E-12,68.8933E-12,96.8451E-12,135.350E-12,187.092E-12,253.507E-12
524.807,34.4926E-12,48.7060E-12,68.6730E-12,96.5387E-12,134.931E-12,186.537E-12,252.816E-12
537.032,34.3835E-12,48.5523E-12,68.4574E-12,96.2391E-12,134.521E-12,185.995E-12,252.140E-12
549.541,34.2767E-12,48.4019E-12,68.2466E-12,95.9460E-12,134.121E-12,185.464E-12,251.479E-12
562.341,34.1723E-12,48.2549E-12,68.0405E-12,95.6594E-12,133.729E-12,184.946E-12,250.834E-12
575.440,34.0702E-12,48.1111E-12,67.8389E-12,95.3792E-12,133.346E-12,184.439E-12,250.203E-12
588.844,33.9703E-12,47.9705E-12,67.6418E-12,95.1052E-12,132.971E-12,183.943E-12,249.586E-12
602.560,33.8727E-12,47.8330E-12,67.4490E-12,94.8372E-12,132.605E-12,183.459E-12,248.983E-12
616.595,33.7772E-12,47.6986E-12,67.2605E-12,94.5752E-12,132.247E-12,182.985E-12,248.393E-12
630.957,33.6839E-12,47.5672E-12,67.0763E-12,94.3191E-12,131.897E-12,182.522E-12,247.818E-12
645.654,33.5926E-12,47.4387E-12,66.8961E-12,94.0687E-12,131.554E-12,182.069E-12,247.255E-12
660.693,33.5034E-12,47.3131E-12,66.7200E-12,93.8240E-12,131.220E-12,181.627E-12,246.705E-12
676.083,33.4162E-12,47.1903E-12,66.5479E-12,93.5847E-12,130.893E-12,181.195E-12,246.167E-12
691.831,33.3309E-12,47.0702E-12,66.3796E-12,93.3508E-12,130.573E-12,180.772E-12,245.642E-12
707.946,33.2476E-12,46.9529E-12,66.2151E-12,93.1222E-12,130.261E-12,180.359E-12,245.129E-12
724.436,33.1662E-12,46.8382E-12,66.0544E-12,92.8988E-12,129.956E-12,179.956E-12,244.628E-12
741.310,33.0866E-12,46.7261E-12,65.8972E-12,92.6805E-12,129.658E-12,179.562E-12,244.138E-12
758.578,33.0088E-12,46.6166E-12,65.7437E-12,92.4671E-12,129.366E-12,179.176E-12,243.660E-12
776.247,32.9327E-12,46.5096E-12,65.5936E-12,92.2586E-12,129.081E-12,178.800E-12,243.193E-12
794.328,32.8584E-12,46.4050E-12,65.4470E-12,92.0548E-12,128.803E-12,178.432E-12,242.736E-12
812.831,32.7858E-12,46.3027E-12,65.3037E-12,91.8557E-12,128.531E-12,178.073E-12,242.290E-12
831.764,32.7149E-12,46.2029E-12,65.1637E-12,91.6612E-12,128.265E-12,177.722E-12,241.855E-12
851.138,32.6456E-12,46.1053E-12,65.0269E-12,91.4711E-12,128.006E-12,177.379E-12,241.429E-12
870.964,32.5779E-12,46.0099E-12,64.8933E-12,91.2854E-12,127.752E-12,177.044E-12,241.014E-12
891.251,32.5117E-12,45.9168E-12,64.7627E-12,91.1040E-12,127.505E-12,176.717E-12,240.608E-12
912.011,32.4471E-12,45.8258E-12,64.6352E-12,90.9268E-12,127.263E-12,176.397E-12,240.212E-12
933.254,32.3839E-12,45.7369E-12,64.5105E-12,90.7537E-12,127.026E-12,176.085E-12,239.825E-12
954.993,32.3222E-12,45.6500E-12,64.3888E-12,90.5846E-12,126.795E-12,175.780E-12,239.447E-12
977.237,32.2620E-12,45.5652E-12,64.2699E-12,90.4194E-12,126.570E-12,175.483E-12,239.078E-12
1.00000E3,32.2031E-12,45.4823E-12,64.1538E-12,90.2580E-12,126.349E-12,175.192E-12,238.717E-12
1.02329E3,32.1456E-12,45.4014E-12,64.0403E-12,90.1004E-12,126.134E-12,174.908E-12,238.365E-12
1.04713E3,32.0895E-12,45.3223E-12,63.9295E-12,89.9465E-12,125.924E-12,174.631E-12,238.022E-12
1.07152E3,32.0346E-12,45.2451E-12,63.8213E-12,89.7962E-12,125.719E-12,174.360E-12,237.686E-12
1.09648E3,31.9811E-12,45.1697E-12,63.7156E-12,89.6494E-12,125.519E-12,174.095E-12,237.359E-12
1.12202E3,31.9288E-12,45.0961E-12,63.6124E-12,89.5060E-12,125.323E-12,173.837E-12,237.039E-12
1.14815E3,31.8777E-12,45.0242E-12,63.5116E-12,89.3660E-12,125.132E-12,173.585E-12,236.727E-12
1.17490E3,31.8278E-12,44.9539E-12,63.4132E-12,89.2293E-12,124.945E-12,173.339E-12,236.422E-12
1.20226E3,31.7791E-12,44.8854E-12,63.3171E-12,89.0958E-12,124.763E-12,173.098E-12,236.124E-12
1.23027E3,31.7315E-12,44.8184E-12,63.2233E-12,88.9655E-12,124.585E-12,172.864E-12,235.834E-12
1.25893E3,31.6851E-12,44.7530E-12,63.1316E-12,88.8382E-12,124.411E-12,172.635E-12,235.550E-12
1.28825E3,31.6397E-12,44.6892E-12,63.0422E-12,88.7139E-12,124.242E-12,172.411E-12,235.273E-12
1.31826E3,31.5954E-12,44.6268E-12,62.9548E-12,88.5926E-12,124.076E-12,172.193E-12,235.003E-12
1.34896E3,31.5522E-12,44.5660E-12,62.8695E-12,88.4742E-12,123.915E-12,171.979E-12,234.740E-12
1.38038E3,31.5100E-12,44.5066E-12,62.7863E-12,88.3585E-12,123.757E-12,171.771E-12,234.482E-12
1.41254E3,31.4688E-12,44.4486E-12,62.7050E-12,88.2456E-12,123.603E-12,171.568E-12,234.231E-12
1.44544E3,31.4286E-12,44.3919E-12,62.6256E-12,88.1354E-12,123.452E-12,171.370E-12,233.986E-12
1.47911E3,31.3893E-12,44.3366E-12,62.5482E-12,88.0278E-12,123.306E-12,171.176E-12,233.746E-12
1.51356E3,31.3510E-12,44.2827E-12,62.4725E-12,87.9228E-12,123.162E-12,170.988E-12,233.513E-12
1.54882E3,31.3136E-12,44.2300E-12,62.3987E-12,87.8203E-12,123.022E-12,170.803E-12,233.285E-12
1.58489E3,31.2770E-12,44.1786E-12,62.3267E-12,87.7202E-12,122.886E-12,170.623E-12,233.062E-12
1.62181E3,31.2414E-12,44.1284E-12,62.2563E-12,87.6226E-12,122.753E-12,170.448E-12,232.845E-12
1.65959E3,31.2066E-12,44.0794E-12,62.1877E-12,87.5272E-12,122.623E-12,170.276E-12,232.633E-12
1.69824E3,31.1726E-12,44.0316E-12,62.1207E-12,87.4342E-12,122.496E-12,170.109E-12,232.426E-12
1.73780E3,31.1394E-12,43.9849E-12,62.0553E-12,87.3434E-12,122.372E-12,169.946E-12,232.225E-12
1.77828E3,31.1071E-12,43.9393E-12,61.9914E-12,87.2547E-12,122.251E-12,169.786E-12,232.028E-12
1.81970E3,31.0755E-12,43.8949E-12,61.9291E-12,87.1682E-12,122.133E-12,169.631E-12,231.836E-12
1.86209E3,31.0447E-12,43.8515E-12,61.8683E-12,87.0838E-12,122.018E-12,169.479E-12,231.648E-12
1.90546E3,31.0146E-12,43.8091E-12,61.8090E-12,87.0014E-12,121.905E-12,169.331E-12,231.465E-12
1.94984E3,30.9852E-12,43.7678E-12,61.7511E-12,86.9210E-12,121.796E-12,169.186E-12,231.287E-12
1.99526E3,30.9566E-12,43.7275E-12,61.6945E-12,86.8425E-12,121.689E-12,169.045E-12,231.112E-12
2.04174E3,30.9286E-12,43.6881E-12,61.6394E-12,86.7659E-12,121.584E-12,168.908E-12,230.943E-12
2.08930E3,30.9013E-12,43.6497E-12,61.5856E-12,86.6912E-12,121.482E-12,168.773E-12,230.777E-12
2.13796E3,30.8747E-12,43.6122E-12,61.5331E-12,86.6183E-12,121.383E-12,168.642E-12,230.615E-12
2.18776E3,30.8487E-12,43.5757E-12,61.4818E-12,86.5471E-12,121.286E-12,168.515E-12,230.457E-12
2.23872E3,30.8234E-12,43.5400E-12,61.4318E-12,86.4777E-12,121.191E-12,168.390E-12,230.303E-12
2.29087E3,30.7986E-12,43.5051E-12,61.3830E-12,86.4099E-12,121.099E-12,168.268E-12,230.153E-12
2.34423E3,30.7745E-12,43.4712E-12,61.3354E-12,86.3438E-12,121.009E-12,168.149E-12,230.006E-12
2.39883E3,30.7509E-12,43.4380E-12,61.2889E-12,86.2793E-12,120.921E-12,168.034E-12,229.863E-12
2.45471E3,30.7279E-12,43.4057E-12,61.2436E-12,86.2164E-12,120.835E-12,167.920E-12,229.724E-12
2.51189E3,30.7055E-12,43.3741E-12,61.1994E-12,86.1550E-12,120.751E-12,167.810E-12,229.588E-12
2.57040E3,30.6836E-12,43.3433E-12,61.1562E-12,86.0951E-12,120.669E-12,167.703E-12,229.455E-12
2.63027E3,30.6623E-12,43.3132E-12,61.1141E-12,86.0366E-12,120.590E-12,167.598E-12,229.325E-12
2.69153E3,30.6415E-12,43.2839E-12,61.0730E-12,85.9796E-12,120.512E-12,167.495E-12,229.199E-12
2.75423E3,30.6211E-12,43.2553E-12,61.0330E-12,85.9240E-12,120.436E-12,167.395E-12,229.076E-12
2.81838E3,30.6013E-12,43.2274E-12,60.9939E-12,85.8697E-12,120.362E-12,167.298E-12,228.955E-12
2.88403E3,30.5820E-12,43.2002E-12,60.9557E-12,85.8167E-12,120.290E-12,167.203E-12,228.838E-12
2.95121E3,30.5631E-12,43.1736E-12,60.9185E-12,85.7651E-12,120.219E-12,167.110E-12,228.724E-12
3.01995E3,30.5447E-12,43.1477E-12,60.8822E-12,85.7146E-12,120.151E-12,167.020E-12,228.612E-12
3.09030E3,30.5267E-12,43.1224E-12,60.8468E-12,85.6655E-12,120.084E-12,166.931E-12,228.503E-12
3.16228E3,30.5092E-12,43.0978E-12,60.8122E-12,85.6175E-12,120.018E-12,166.845E-12,228.397E-12
3.23594E3,30.4921E-12,43.0737E-12,60.7785E-12,85.5707E-12,119.954E-12,166.761E-12,228.293E-12
3.31131E3,30.4755E-12,43.0502E-12,60.7456E-12,85.5251E-12,119.892E-12,166.679E-12,228.192E-12
3.38844E3,30.4592E-12,43.0273E-12,60.7136E-12,85.4805E-12,119.832E-12,166.599E-12,228.094E-12
3.46737E3,30.4433E-12,43.0050E-12,60.6823E-12,85.4371E-12,119.772E-12,166.521E-12,227.997E-12
3.54813E3,30.4278E-12,42.9832E-12,60.6517E-12,85.3947E-12,119.715E-12,166.445E-12,227.904E-12
3.63078E3,30.4127E-12,42.9620E-12,60.6220E-12,85.3534E-12,119.658E-12,166.371E-12,227.812E-12
3.71535E3,30.3980E-12,42.9412E-12,60.5929E-12,85.3131E-12,119.603E-12,166.299E-12,227.723E-12
3.80189E3,30.3837E-12,42.9210E-12,60.5646E-12,85.2737E-12,119.550E-12,166.228E-12,227.636E-12
3.89045E3,30.3696E-12,42.9013E-12,60.5369E-12,85.2354E-12,119.497E-12,166.159E-12,227.551E-12
3.98107E3,30.3560E-12,42.8820E-12,60.5100E-12,85.1980E-12,119.446E-12,166.092E-12,227.468E-12
4.07380E3,30.3426E-12,42.8633E-12,60.4837E-12,85.1615E-12,119.397E-12,166.027E-12,227.387E-12
4.16869E3,30.3296E-12,42.8450E-12,60.4580E-12,85.1258E-12,119.348E-12,165.963E-12,227.309E-12
4.26580E3,30.3169E-12,42.8271E-12,60.4330E-12,85.0911E-12,119.301E-12,165.901E-12,227.232E-12
4.36516E3,30.3046E-12,42.8097E-12,60.4086E-12,85.0572E-12,119.255E-12,165.840E-12,227.157E-12
4.46684E3,30.2925E-12,42.7927E-12,60.3848E-12,85.0242E-12,119.209E-12,165.780E-12,227.084E-12
4.57088E3,30.2807E-12,42.7761E-12,60.3616E-12,84.9920E-12,119.166E-12,165.723E-12,227.013E-12
4.67735E3,30.2692E-12,42.7600E-12,60.3390E-12,84.9606E-12,119.123E-12,165.666E-12,226.943E-12
4.78630E3,30.2580E-12,42.7442E-12,60.3169E-12,84.9299E-12,119.081E-12,165.611E-12,226.875E-12
4.89779E3,30.2471E-12,42.7288E-12,60.2953E-12,84.9000E-12,119.040E-12,165.558E-12,226.809E-12
5.01187E3,30.2365E-12,42.7138E-12,60.2743E-12,84.8708E-12,119.000E-12,165.505E-12,226.745E-12
5.12861E3,30.2261E-12,42.6992E-12,60.2538E-12,84.8424E-12,118.962E-12,165.454E-12,226.682E-12
5.24807E3,30.2159E-12,42.6850E-12,60.2339E-12,84.8147E-12,118.924E-12,165.405E-12,226.621E-12
5.37032E3,30.2061E-12,42.6710E-12,60.2144E-12,84.7876E-12,118.887E-12,165.356E-12,226.561E-12
5.49541E3,30.1964E-12,42.6575E-12,60.1954E-12,84.7612E-12,118.851E-12,165.309E-12,226.502E-12
5.62341E3,30.1870E-12,42.6442E-12,60.1768E-12,84.7355E-12,118.816E-12,165.263E-12,226.446E-12
5.75440E3,30.1778E-12,42.6313E-12,60.1587E-12,84.7104E-12,118.782E-12,165.218E-12,226.390E-12
5.88844E3,30.1689E-12,42.6187E-12,60.1411E-12,84.6859E-12,118.748E-12,165.174E-12,226.336E-12
6.02560E3,30.1602E-12,42.6065E-12,60.1239E-12,84.6620E-12,118.716E-12,165.131E-12,226.283E-12
6.16595E3,30.1517E-12,42.5945E-12,60.1071E-12,84.6388E-12,118.684E-12,165.089E-12,226.232E-12
6.30957E3,30.1434E-12,42.5828E-12,60.0908E-12,84.6161E-12,118.653E-12,165.048E-12,226.182E-12
6.45654E3,30.1353E-12,42.5714E-12,60.0748E-12,84.5939E-12,118.623E-12,165.009E-12,226.133E-12
6.60693E3,30.1274E-12,42.5603E-12,60.0593E-12,84.5723E-12,118.594E-12,164.970E-12,226.085E-12
6.76083E3,30.1197E-12,42.5495E-12,60.0441E-12,84.5513E-12,118.565E-12,164.932E-12,226.038E-12
6.91831E3,30.1122E-12,42.5389E-12,60.0293E-12,84.5307E-12,118.537E-12,164.895E-12,225.993E-12
7.07946E3,30.1049E-12,42.5286E-12,60.0149E-12,84.5107E-12,118.510E-12,164.859E-12,225.949E-12
7.24436E3,30.0977E-12,42.5186E-12,60.0008E-12,84.4912E-12,118.483E-12,164.824E-12,225.906E-12
7.41310E3,30.0908E-12,42.5088E-12,59.9871E-12,84.4721E-12,118.457E-12,164.790E-12,225.864E-12
7.58578E3,30.0840E-12,42.4992E-12,59.9737E-12,84.4535E-12,118.432E-12,164.757E-12,225.822E-12
7.76247E3,30.0774E-12,42.4899E-12,59.9606E-12,84.4354E-12,118.407E-12,164.724E-12,225.782E-12
7.94328E3,30.0709E-12,42.4808E-12,59.9479E-12,84.4177E-12,118.383E-12,164.693E-12,225.743E-12
8.12831E3,30.0646E-12,42.4720E-12,59.9355E-12,84.4005E-12,118.359E-12,164.662E-12,225.705E-12
8.31764E3,30.0585E-12,42.4633E-12,59.9234E-12,84.3837E-12,118.337E-12,164.632E-12,225.668E-12
8.51138E3,30.0525E-12,42.4549E-12,59.9116E-12,84.3673E-12,118.314E-12,164.602E-12,225.632E-12
8.70964E3,30.0467E-12,42.4467E-12,59.9001E-12,84.3514E-12,118.292E-12,164.574E-12,225.597E-12
8.91251E3,30.0410E-12,42.4387E-12,59.8888E-12,84.3358E-12,118.271E-12,164.546E-12,225.562E-12
9.12011E3,30.0354E-12,42.4309E-12,59.8779E-12,84.3206E-12,118.250E-12,164.519E-12,225.529E-12
9.33254E3,30.0300E-12,42.4232E-12,59.8672E-12,84.3058E-12,118.230E-12,164.492E-12,225.496E-12
9.54993E3,30.0247E-12,42.4158E-12,59.8568E-12,84.2913E-12,118.211E-12,164.466E-12,225.464E-12
9.77237E3,30.0196E-12,42.4086E-12,59.8466E-12,84.2772E-12,118.191E-12,164.441E-12,225.433E-12
10.0000E3,30.0146E-12,42.4015E-12,59.8367E-12,84.2635E-12,118.173E-12,164.416E-12,225.403E-12
10.2329E3,30.0097E-12,42.3946E-12,59.8271E-12,84.2501E-12,118.154E-12,164.392E-12,225.373E-12
